Orange,1,1.00,
Orange,1,2.00,
Orange,1,2.00,ADD
Orange,1,3.00,
Orange,1,4.00,
Orange,1,6.00,
Orange,1,7.00,
Orange,1,8.00,
Orange,1,9.00,
Orange,1,10.00,
Orange,1,11.00,
Beans,1,2.00,
Beans,1,1.00,MULTIPLY
Meat,1,23.00,
Meat,1,21.00,
Meat,1,17.00,ADD
Meat,1,19.00,
Meat,1,21.00,
Meat,1,22.00,
Meat,1,13.00,
Meat,1,6.00,MULTIPLY
Meat,1,18.00,
Meat,1,14.00,
Meat,1,21.00,
Meat,1,22.00,
Meat,1,13.00,
Meat,1,12.00,
Meat,1,4.00,ADD
Meat,1,15.00,
Meat,1,20.00,
Meat,1,21.00,
Meat,1,22.00,
Meat,1,17.00,
Meat,1,15.00,
Meat,1,12.00,
Meat,1,20.00,
Meat,1,20.00,
Meat,1,20.00,
Meat,1,20.00,
Meat,2,20.00,
Meat,1,20.00,
Meat,1,21.00,
Meat,3,21.00,
Meat,1,21.00,
Meat,1,21.00,
Meat,1,21.00,
Meat,1,21.00,
Meat,1,21.00,
Meat,1,21.00,
Meat,1,21.00,
Meat,1,21.00,
Meat,1,21.00,
Meat,5,18.00,
Meat,1,21.00,
Meat,1,21.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
Meat,1,15.00,
